"integration_name","integration_company","integration_type","integration_url","integration_logo","integration_logo_url","integration_purpose","integration_description","image_integration_homepage","image_integration_homepage_url","integration_seo","integration_privacy_email"
"Infusionsoft by Keap","Keap","Zapier","https://keap.com/infusionsoft","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac69dcf5e8ee001630dcb4/thumb/keap.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac69dcf5e8ee001630dcb4/original/keap.png","customer relationship management","Infusionsoft by Keap is all-in-one marketing and sales automation software for small businesses. It effortlessly combines CRM, email marketing and e-commerce.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac69e1dd3c31001784f4be/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac69e1dd3c31001784f4be/original/screenshot.png","Use Infusionsoft by Keap for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","legal@keap.com"
"Zoho CRM","Zoho Corporation Pvt. Ltd","Zapier","https://www.zoho.com/crm/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac6afb272b3e00158154f1/thumb/zohologo1.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac6afb272b3e00158154f1/original/zohologo1.png","customer relationship management","Zoho CRM is a web-based CRM designed to attract, retain, and satisfy customers to grow your business.<br /><br />","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac6af499ba7e0016a8a61e/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac6af499ba7e0016a8a61e/original/screenshot.png","Use Zoho CRM for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","privacy@zohocorp.com"
"LionDesk"," LionDesk, LLC","Zapier","https://www.liondesk.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac6b89fb683a0017b23a4d/thumb/darkgrayoriginallogo.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac6b89fb683a0017b23a4d/original/darkgrayoriginallogo.png","customer relationship management","LionDesk is the hub for Sales Professionals to help manage clients, transactions, automate marketing and more.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac6b81601bf00016792733/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac6b81601bf00016792733/original/screenshot.png","Use LionDesk for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","contact@liondesk.com"
"Agile CRM","Agile CRM","Zapier","https://www.agilecrm.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac6c41dd3c31001784f58f/thumb/agile.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac6c41dd3c31001784f58f/original/agile.png","customer relationship management","Agile CRM offers contact management, marketing automation, telephony, analytics, web engagement, real-time alerts and social suite. Track, nurture, and sell like a pro.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac6c381125fd00165f9134/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac6c381125fd00165f9134/original/screenshot.png","Use Agile CRM for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","care@agilecrm.com"
"Insightly","Insightly, Inc.","Zapier","https://www.insightly.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac6d6922cdc500159f4969/thumb/2042044898_insightlylogoinsightlycrmclipart.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac6d6922cdc500159f4969/original/2042044898_insightlylogoinsightlycrmclipart.png","marketing, sales, and project management","Insightly is a CRM and project management app that helps small to medium businesses manage contacts, track relationships, monitor sales pipeline, organize projects and more. It keeps all your critical business info on all your devices, so your company sells more and satisfies customers better.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac6d6f60c62c0015e3b0ff/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac6d6f60c62c0015e3b0ff/original/screenshot.png","Use Insightly for your marketing, sales, and project management? LegalSite integrates directly so you can be GDPR/privacy compliant!","contact@insight.ly"
"Streak","Rewardly, Inc.","Zapier","https://www.streak.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac6e4f5d72c3001aa0aba4/thumb/streak.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac6e4f5d72c3001aa0aba4/original/streak.png","customer relationship management","Streak is a flexible CRM and process management system that lives inside your Gmail inbox.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac6e54fb683a0017b23b54/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac6e54fb683a0017b23b54/original/screenshot.png","Use Streak for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","privacy@streak.com"
"Copper","Copper Enterprise, Inc.","Zapier","https://www.copper.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac6f595d72c3001aa0abfe/thumb/coppericoncirclepink.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac6f595d72c3001aa0abfe/original/coppericoncirclepink.png","customer relationship management","Copper is a new kind of productivity CRM that's designed to do all your busywork, so you can focus on building long-lasting business relationships.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac6f16f5e8ee001630de8a/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac6f16f5e8ee001630de8a/original/screenshot.png","Use Copper for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","privacy-questions@copper.com"
"Close","Elastic, Inc.","Zapier","https://close.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac7029a216f30015ff6c68/thumb/close.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac7029a216f30015ff6c68/original/close.png","customer relationship management","Close is a sales productivity platform built to help you close more deals. With built-in calling, SMS, and email, your team can communicate with prospects and customers all in one place.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac7038272b3e00158156c1/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac7038272b3e00158156c1/original/screenshot.png","Use Close for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","support@close.com"
"Freshsales","Freshworks Inc","Zapier","https://www.freshworks.com/freshsales-crm/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac71d56039120015c8cd21/thumb/freshsaleslogo1.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac71d56039120015c8cd21/original/freshsaleslogo1.png","customer relationship management","Freshsales is an online, cloud-based CRM with Integrated phone and email, User behavior tracking, Lead scoring and more.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac71dadd3c31001784f768/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac71dadd3c31001784f768/original/screenshot.png","Use Freshsales for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","support@freshsales.io"
"amoCRM","1С","Zapier","https://www.amocrm.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac725b22cdc500159f4aec/thumb/amo1.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac725b22cdc500159f4aec/original/amo1.png","customer relationship management","amoCRM is a messaging-powered CRM that helps you engage with your customers on a whole new level. It's a versatile, cloud-based sales automation tool that enables you to manage leads and monitor your sales pipeline in only a few clicks","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac726160c62c0015e3b28a/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac726160c62c0015e3b28a/original/screenshot.png","Use amoCRM for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","support@amocrm.com"
"Redtail CRM","Redtail Technologies LLP","Zapier","https://corporate.redtailtechnology.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac73286039120015c8cd88/thumb/redtailcrm.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac73286039120015c8cd88/original/redtailcrm.png","customer relationship management","Redtail CRM is cost-effective, easy to use, cloud based solution for today’s financial professional. Packed with powerful features for activity management, office automation, and more.<br />","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac73315d72c3001aa0ad31/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dac73315d72c3001aa0ad31/original/screenshot.png","Use Redtail CRM for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","support@redtailtechnology.com"
"Zendesk Sell","Zendesk Inc.","Zapier","https://www.zendesk.com/sell/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dada32c8840fc0015b4cc43/thumb/zendesk.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dada32c8840fc0015b4cc43/original/zendesk.png","sales management","Zendesk Sell (formerly Base) is a sales automation tool to enhance productivity, processes, and pipeline visibility for sales teams.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dada333df9a610018e51281/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dada333df9a610018e51281/original/screenshot.png","Use Zendesk Sell for your sales management? LegalSite integrates directly so you can be GDPR/privacy compliant!","privacy@zendesk.com"
"Highrise","","Zapier","https://highrisehq.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dafb25e5773ad0015b640f7/thumb/highriselogoforfluid.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dafb25e5773ad0015b640f7/original/highriselogoforfluid.png","customer relationship management","Highrise CRM helps you manage your contacts, keep track of who said what when, schedule follow-ups, set reminders, and convert leads into done deals.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dafb2746114bc0016ab5cd3/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dafb2746114bc0016ab5cd3/original/screenshot.png","Use Highrise for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","privacy@highrisehq.com"
"Contactually","Contactually, Inc.","Zapier","https://www.contactually.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dafb3625773ad0015b6414b/thumb/contactuallylogotransparent.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dafb3625773ad0015b6414b/original/contactuallylogotransparent.png","customer relationship management","Grow your most important asset, relationships, and enhance your real estate work with Contactually’s CRM that brings together your email and contacts, helps you know when to reach out to individuals, and maintain your relationships with direct and automated messages.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dafb36ab5866b00198af337/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dafb36ab5866b00198af337/original/screenshot.png","Use Contactually for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","legal@contactually.com"
"Capsule CRM","Zestia Ltd","Zapier","https://capsulecrm.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dafb4537fec680016a1dafc/thumb/capsule.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dafb4537fec680016a1dafc/original/capsule.png","customer relationship management","Capsule is an online CRM for managing contacts, tasks and sales opportunities. Add tasks, track communication logs, and close deals in your pipeline faster with Capsule.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dafb45b7a24160015cc7fb9/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dafb45b7a24160015cc7fb9/original/screenshot.png","Use Capsule CRM for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","support@capsulecrm.com"
"Microsoft Dynamics 365 CRM","Microsoft Corporation","Zapier","https://dynamics.microsoft.com/en-us/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dafb69cf5e3ed001706a76c/thumb/microsoftdynamicscrmlogo.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dafb69cf5e3ed001706a76c/original/microsoftdynamicscrmlogo.png","customer relationship management","Microsoft Dynamics is built for any device, anywhere. Built for you. For Dynamics Version 9 and Dynamics 365.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dafb6a26114bc0016ab5e39/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dafb6a26114bc0016ab5e39/original/screenshot.png","Use Microsoft Dynamics 365 CRM for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!",""
"Wealthbox CRM","Wealthbox","Zapier","https://www.wealthbox.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dafb74de7ca810015bd4f05/thumb/wealthboxlogodark.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dafb74de7ca810015bd4f05/original/wealthboxlogodark.png","customer relationship management","Wealthbox is a web-based CRM solution that allows financial advisors to manage their client relationships with ease.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dafb74469491d0015b247af/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dafb74469491d0015b247af/original/screenshot.png","Use Wealthbox CRM for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","support@wealthbox.com"
"ConnectWise Manage","ConnectWise Inc.","Zapier","https://www.connectwise.com/software/manage","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dafb8c8b5866b00198af50c/thumb/connectwisemanage.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dafb8c8b5866b00198af50c/original/connectwisemanage.png","business management","ConnectWise Manage is a business management platform designed to successfully run and grow your technology business.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dafb8cf7850e10015311e3e/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dafb8cf7850e10015311e3e/original/screenshot.png","Use ConnectWise Manage for your business management? LegalSite integrates directly so you can be GDPR/privacy compliant!","privacy@connectwise.com"
"Daylite","Marketcircle Inc.","Zapier","https://www.marketcircle.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dafc06776c5470016d414f2/thumb/daylite.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dafc06776c5470016d414f2/original/daylite.png","customer relationship management","Daylite is a business productivity app that helps you focus more on doing what you love. Manage your contacts, schedules, projects, tasks, sales opportunities, and more.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dafc03701e530001609a4b3/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dafc03701e530001609a4b3/original/screenshot.png","Use Daylite for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","privacy-officer@marketcircle.com"
"Nutshell","Nutshell Inc.","Zapier","https://www.nutshell.com/","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dafc13bf5e3ed001706aaf9/thumb/nutshell.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dafc13bf5e3ed001706aaf9/original/nutshell.png","customer relationship management","Nutshell is an affordable, easy-to-use CRM that helps small-business sales teams win more deals.","<img src=""https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dafc14977404700158b8d27/thumb/screenshot.png"" />","https://s3-eu-west-1.amazonaws.com/assets.knack-eu.com/assets/5d4d2c26d8609100108653c4/5dafc14977404700158b8d27/original/screenshot.png","Use Nutshell for your customer relationship management? LegalSite integrates directly so you can be GDPR/privacy compliant!","policies@nutshell.com"
